ID,What is your age range?,What is your gender?,What is your education level?,What is your employment status?,What is your occupation? (optional),How often do you use technological devices?,How much knowledge do you have about artificial intelligence (AI) technologies?,Do you generally trust artificial intelligence (AI)?,Do you think artificial intelligence (AI) will be generally beneficial or harmful to humanity?,Please rate how actively you use AI-powered products in your daily life on a scale from 1 to 5.,Would you like to use more AI products in the future?,I think artificial intelligence (AI) could threaten individual freedoms.,Could artificial intelligence (AI) completely eliminate some professions?,Do you think your own job could be affected by artificial intelligence (AI)?,Do you believe that artificial intelligence (AI) should be limited by ethical rules?,Could artificial intelligence (AI) one day become conscious like humans?,Which of the following do you think is NOT an artificial intelligence (AI) application?,Which of the following is a machine learning algorithm used in the field of artificial intelligence?,The artificial intelligence application called 'ChatGPT' is an example of which type of AI system?,device_hours_score,knowledge_score,trust_score,beneficial_score,ai_usage_score,future_intent_score,threat_freedoms_score,job_elimination_score,personal_job_threat_score,ethical_constraints_score,consciousness_score,q1_correct,q2_correct,q3_correct,device_hours_normalized,tech_comfort_level,ai_literacy_score,trust_index,anxiety_index,trust_anxiety_gap,trust_anxiety_balance,attitude_category,indifference_rate,knowledge_confidence_gap,literacy_perception_gap,self_awareness_category,response_consistency_score
52,18-24,Male,Bachelor's degree,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I trust it,More beneficial than harmful,3,I would like to,I'm undecided,I have no idea,I'm undecided,I'm undecided,I'm undecided,Netflix recommendations,Excel,Natural language processing,3.5,5.0,7.5,7.5,6.0,7.5,5.0,5.0,5.0,5.0,5.0,0,0,1,2.916666666666667,4.458333333333334,3.333333333333333,7.5,5.0,2.5,6.25,Moderate,7.6923076923076925,2.5,1.666666666666667,Realistic,10.0
53,18-24,Male,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,4,I'm undecided,I'm undecided,Removes,I'm undecided,Agree,I'm undecided,WhatsApp,Linear regression,Natural language processing,7.5,5.0,5.0,5.0,8.0,5.0,5.0,7.5,5.0,7.5,5.0,1,1,1,6.25,7.125,10.0,5.0,5.625,-0.625,4.6875,Moderate,0.0,0.0,-5.0,Underconfident,10.0
54,18-24,Male,Bachelor's degree,Student,Student,More than 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I'm undecided,Agree,Removes,Think,Agree,Can't,WhatsApp,Linear regression,Natural language processing,10.0,5.0,5.0,5.0,6.0,5.0,7.5,7.5,7.5,7.5,2.5,1,1,1,10.0,8.0,10.0,5.0,6.25,-1.25,4.375,Moderate,0.0,0.0,-5.0,Underconfident,10.0
55,18-24,Male,Bachelor's degree,Student,engineer,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,5,I would like to,I'm undecided,Definitely Removes,Think,Agree,Can't,WhatsApp,Linear regression,Natural language processing,7.5,5.0,5.0,5.0,10.0,7.5,5.0,10.0,7.5,7.5,2.5,1,1,1,6.25,8.125,10.0,5.833333333333333,6.25,-0.4166666666666669,4.791666666666666,Moderate,0.0,0.0,-5.0,Underconfident,10.0
56,18-24,Male,High school,Student,Student,More than 10 hours per day,I have basic knowledge,I'm undecided,More harmful than beneficial,3,I would like to,I'm undecided,Removes,Think,I'm undecided,Can't,WhatsApp,Linear regression,Natural language processing,10.0,5.0,5.0,2.5,6.0,7.5,5.0,7.5,7.5,5.0,2.5,1,1,1,10.0,8.0,10.0,5.0,5.625,-0.625,4.6875,Moderate,0.0,0.0,-5.0,Underconfident,8.5
57,18-24,Male,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,3,"Definitely, I would like to",I'm undecided,Definitely Removes,Think,Agree,I'm undecided,Netflix recommendations,Linear regression,Web browser,7.5,7.5,7.5,5.0,6.0,10.0,5.0,10.0,7.5,7.5,5.0,0,1,0,6.25,6.125,3.333333333333333,7.5,6.875,0.625,5.3125,Cautious,0.0,0.0,4.166666666666667,Overconfident,10.0
58,18-24,Male,Bachelor's degree,Student,Student,More than 10 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,4,I would like to,Strongly disagree,Definitely Removes,I definitely think,Agree,It certainly can't be,WhatsApp,Linear regression,Web browser,10.0,7.5,7.5,5.0,8.0,7.5,0.0,10.0,10.0,7.5,0.0,1,1,0,10.0,9.0,6.666666666666666,6.666666666666667,5.0,1.666666666666667,5.833333333333334,Moderate,0.0,0.0,0.8333333333333339,Realistic,10.0
59,18-24,Male,Bachelor's degree,Student,engineer,More than 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I'm undecided,I disagree,Removes,Think,Agree,Can't,WhatsApp,I do not know,Natural language processing,10.0,5.0,5.0,5.0,6.0,5.0,2.5,7.5,7.5,7.5,2.5,1,0,1,10.0,8.0,6.666666666666666,5.0,5.0,0.0,5.0,Moderate,7.6923076923076925,0.0,-1.666666666666666,Realistic,10.0
60,18-24,Male,Bachelor's degree,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,More beneficial than harmful,1,I would like to,Agree,Definitely Removes,Think,Strongly Agree,Can't,Netflix recommendations,Game algorithm,Natural language processing,3.5,5.0,5.0,7.5,2.0,7.5,7.5,10.0,7.5,10.0,2.5,0,0,1,2.916666666666667,2.458333333333333,3.333333333333333,6.666666666666667,6.875,-0.208333333333333,4.895833333333334,Cautious,0.0,0.0,1.666666666666667,Realistic,10.0
61,18-24,Male,Bachelor's degree,Student,Student,More than 10 hours per day,I have basic knowledge,I don't trust it at all,More beneficial than harmful,4,I would like to,Agree,I have no idea,Definitely I don't think so,I'm undecided,It certainly can't be,Netflix recommendations,Game algorithm,Natural language processing,10.0,5.0,0.0,7.5,8.0,7.5,7.5,5.0,0.0,5.0,0.0,0,0,1,10.0,9.0,3.333333333333333,5.0,3.125,1.875,5.9375,Moderate,7.6923076923076925,-5.0,1.666666666666667,Realistic,8.5
62,18-24,Female,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,5,I would like to,Agree,Definitely Removes,I'm undecided,Strongly Agree,Becomes,I do not know,Excel,I do not know,7.5,5.0,5.0,5.0,10.0,7.5,7.5,10.0,5.0,10.0,7.5,0,0,0,6.25,8.125,0.0,5.833333333333333,7.5,-1.666666666666667,4.166666666666666,Moderate,15.384615384615383,0.0,5.0,Overconfident,10.0
63,18-24,Female,Bachelor's degree,Student,Student,More than 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,I'm undecided,Removes,I'm undecided,Agree,Becomes,WhatsApp,I do not know,Web browser,10.0,5.0,5.0,5.0,6.0,7.5,5.0,7.5,5.0,7.5,7.5,1,0,0,10.0,8.0,3.333333333333333,5.833333333333333,6.25,-0.4166666666666669,4.791666666666666,Moderate,7.6923076923076925,0.0,1.666666666666667,Realistic,10.0
64,18-24,Female,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,4,I would like to,I'm undecided,Definitely Removes,I don't think so,I'm undecided,Becomes,WhatsApp,I do not know,Web browser,7.5,5.0,5.0,5.0,8.0,7.5,5.0,10.0,2.5,5.0,7.5,1,0,0,6.25,7.125,3.333333333333333,5.833333333333333,6.25,-0.4166666666666669,4.791666666666666,Moderate,7.6923076923076925,0.0,1.666666666666667,Realistic,10.0
65,18-24,Female,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,3,I would like to,I'm undecided,Removes,Think,Agree,Becomes,WhatsApp,I do not know,Web browser,7.5,5.0,2.5,5.0,6.0,7.5,5.0,7.5,7.5,7.5,7.5,1,0,0,6.25,6.125,3.333333333333333,5.0,6.875,-1.875,4.0625,Moderate,7.6923076923076925,-2.5,1.666666666666667,Realistic,10.0
66,18-24,Female,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,I'm undecided,I have no idea,I don't think so,Agree,Can't,WhatsApp,HTML,Web browser,7.5,5.0,5.0,5.0,6.0,7.5,5.0,5.0,2.5,7.5,2.5,1,0,0,6.25,6.125,3.333333333333333,5.833333333333333,3.75,2.083333333333333,6.041666666666666,Moderate,7.6923076923076925,0.0,1.666666666666667,Realistic,10.0
67,18-24,Female,Bachelor's degree,Student,Intern,More than 10 hours per day,I have a good level of knowledge,I trust it,More beneficial than harmful,5,"Definitely, I would like to",I'm undecided,Removes,Think,Strongly Agree,Becomes,WhatsApp,I do not know,Web browser,10.0,7.5,7.5,7.5,10.0,10.0,5.0,7.5,7.5,10.0,7.5,1,0,0,10.0,10.0,3.333333333333333,8.333333333333334,6.875,1.458333333333334,5.729166666666667,Cautious,7.6923076923076925,0.0,4.166666666666667,Overconfident,10.0
68,18-24,Female,Bachelor's degree,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,3,I'm undecided,I'm undecided,I have no idea,I'm undecided,I'm undecided,I'm undecided,WhatsApp,I do not know,Web browser,7.5,5.0,7.5,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,0,6.25,6.125,3.333333333333333,5.833333333333333,5.0,0.833333333333333,5.416666666666666,Moderate,15.384615384615383,2.5,1.666666666666667,Realistic,10.0
69,18-24,Female,Bachelor's degree,Student,Student,More than 10 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,4,I'm undecided,I'm undecided,Definitely Removes,Think,Agree,I'm undecided,WhatsApp,HTML,Image processing,10.0,5.0,7.5,5.0,8.0,5.0,5.0,10.0,7.5,7.5,5.0,1,0,0,10.0,9.0,3.333333333333333,5.833333333333333,6.875,-1.041666666666667,4.479166666666666,Moderate,0.0,2.5,1.666666666666667,Realistic,10.0
70,18-24,Female,Bachelor's degree,Student,Student,Between 2 to 5 hours per day,I have an expert-level knowledge,I trust it,Definitely harmful,3,"Definitely, I would not like to",Strongly disagree,Definitely Removes,Think,I disagree,Can't,I do not know,Linear regression,Natural language processing,3.5,10.0,7.5,0.0,6.0,0.0,0.0,10.0,7.5,2.5,2.5,0,1,1,2.916666666666667,4.458333333333334,6.666666666666666,2.5,5.0,-2.5,3.75,Moderate,7.6923076923076925,-2.5,3.333333333333334,Overconfident,8.5
71,18-24,Female,High school,Student,Student,Between 5 to 10 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,4,I would like to,Agree,Can't handle it,Think,Strongly Agree,Can't,WhatsApp,HTML,Web browser,7.5,2.5,5.0,5.0,8.0,7.5,7.5,2.5,7.5,10.0,2.5,1,0,0,6.25,7.125,3.333333333333333,5.833333333333333,5.0,0.833333333333333,5.416666666666666,Moderate,0.0,2.5,-0.833333333333333,Realistic,10.0
72,18-24,Female,Bachelor's degree,Student,Student,Between 2 to 5 hours per day,I have a good level of knowledge,I trust it,More beneficial than harmful,5,"Definitely, I would like to",I disagree,Removes,I don't think so,I disagree,Becomes,WhatsApp,Linear regression,Natural language processing,3.5,7.5,7.5,7.5,10.0,10.0,2.5,7.5,2.5,2.5,7.5,1,1,1,2.916666666666667,6.458333333333334,10.0,8.333333333333334,5.0,3.333333333333334,6.666666666666667,Moderate,0.0,0.0,-2.5,Underconfident,10.0
73,45 years and older,Female,Bachelor's degree,Employed,Teacher,More than 10 hours per day,I've heard a little about it,I don't trust it,Both beneficial and harmful,1,I'm undecided,Agree,Removes,I don't think so,Strongly Agree,Becomes,WhatsApp,Linear regression,Web browser,10.0,2.5,2.5,5.0,2.0,5.0,7.5,7.5,2.5,10.0,7.5,1,1,0,10.0,6.0,6.666666666666666,4.166666666666667,6.25,-2.083333333333333,3.9583333333333335,Moderate,0.0,0.0,-4.166666666666666,Underconfident,10.0
74,45 years and older,Male,Master's degree or higher,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it at all,Both beneficial and harmful,1,I would not like to,Agree,Removes,I don't think so,Strongly Agree,Becomes,WhatsApp,I do not know,Web browser,3.5,5.0,0.0,5.0,2.0,2.5,7.5,7.5,2.5,10.0,7.5,1,0,0,2.916666666666667,2.458333333333333,3.333333333333333,2.5,6.25,-3.75,3.125,Resister,7.6923076923076925,-5.0,1.666666666666667,Realistic,10.0
75,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I've heard a little about it,I trust it,Both beneficial and harmful,3,I would like to,Agree,Removes,Think,Strongly Agree,Becomes,WhatsApp,I do not know,I do not know,3.5,2.5,7.5,5.0,6.0,7.5,7.5,7.5,7.5,10.0,7.5,1,0,0,2.916666666666667,4.458333333333334,3.333333333333333,6.666666666666667,7.5,-0.833333333333333,4.583333333333334,Cautious,15.384615384615383,5.0,-0.833333333333333,Realistic,8.5
76,45 years and older,Male,Bachelor's degree,Employed,Teacher,I never use it,I have basic knowledge,I trust it,Both beneficial and harmful,1,"Definitely, I would not like to",Strongly Agree,Removes,I don't think so,Agree,Can't,I do not know,I do not know,Image processing,0.0,5.0,7.5,5.0,2.0,0.0,10.0,7.5,2.5,7.5,2.5,0,0,0,0.0,1.0,0.0,4.166666666666667,5.625,-1.458333333333333,4.270833333333334,Moderate,15.384615384615383,2.5,5.0,Overconfident,10.0
77,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,1,I would like to,Agree,Definitely Removes,Definitely I don't think so,Strongly Agree,Can't,WhatsApp,I do not know,Web browser,3.5,5.0,5.0,5.0,2.0,7.5,7.5,10.0,0.0,10.0,2.5,1,0,0,2.916666666666667,2.458333333333333,3.333333333333333,5.833333333333333,5.0,0.833333333333333,5.416666666666666,Moderate,7.6923076923076925,0.0,1.666666666666667,Realistic,10.0
78,Under 18 years old,Female,High school,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,4,I'm undecided,Agree,Definitely Removes,Think,Agree,Becomes,WhatsApp,I do not know,Web browser,7.5,5.0,7.5,5.0,8.0,5.0,7.5,10.0,7.5,7.5,7.5,1,0,0,6.25,7.125,3.333333333333333,5.833333333333333,8.125,-2.291666666666667,3.8541666666666665,Moderate,7.6923076923076925,2.5,1.666666666666667,Realistic,8.5
79,35-44,Female,Associate degree,Employed,Not specified,Between 0 to 2 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,3,I'm undecided,I'm undecided,I have no idea,I'm undecided,I'm undecided,I'm undecided,WhatsApp,I do not know,Image processing,1.0,2.5,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,0,0.8333333333333333,3.4166666666666665,3.333333333333333,5.0,5.0,0.0,5.0,Moderate,15.384615384615383,2.5,-0.833333333333333,Realistic,10.0
80,25-34,Female,Bachelor's degree,Employed,Audiology,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I'm undecided,Agree,Can't handle it,I definitely think,Strongly Agree,I'm undecided,WhatsApp,Game algorithm,I do not know,7.5,5.0,5.0,5.0,6.0,5.0,7.5,2.5,10.0,10.0,5.0,1,0,0,6.25,6.125,3.333333333333333,5.0,6.25,-1.25,4.375,Moderate,7.6923076923076925,0.0,1.666666666666667,Realistic,10.0
81,18-24,Female,Bachelor's degree,Student,engineer,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,Agree,Definitely Removes,I definitely think,Strongly Agree,I'm undecided,WhatsApp,Linear regression,Natural language processing,7.5,5.0,5.0,5.0,6.0,7.5,7.5,10.0,10.0,10.0,5.0,1,1,1,6.25,6.125,10.0,5.833333333333333,8.125,-2.291666666666667,3.8541666666666665,Moderate,0.0,0.0,-5.0,Underconfident,10.0
82,45 years and older,Male,Bachelor's degree,Retired,Teacher,Between 5 to 10 hours per day,I've heard a little about it,I trust it,Both beneficial and harmful,1,"Definitely, I would like to",Strongly Agree,Definitely Removes,Think,Strongly Agree,I'm undecided,WhatsApp,Excel,Natural language processing,7.5,2.5,7.5,5.0,2.0,10.0,10.0,10.0,7.5,10.0,5.0,1,0,1,6.25,4.125,6.666666666666666,7.5,8.125,-0.625,4.6875,Cautious,0.0,5.0,-4.166666666666666,Underconfident,8.5
83,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 0 to 2 hours per day,I have basic knowledge,I don't trust it at all,More harmful than beneficial,1,I would not like to,Agree,Can't handle it,Definitely I don't think so,Strongly Agree,Can't,WhatsApp,Linear regression,Web browser,1.0,5.0,0.0,2.5,2.0,2.5,7.5,2.5,0.0,10.0,2.5,1,1,0,0.8333333333333333,1.4166666666666663,6.666666666666666,1.6666666666666667,3.125,-1.4583333333333333,4.270833333333333,Indifferent,0.0,-5.0,-1.666666666666666,Realistic,10.0
84,18-24,Female,Bachelor's degree,Student,Doktor-Student,More than 10 hours per day,I have a good level of knowledge,I trust it,More harmful than beneficial,3,I would like to,I'm undecided,Removes,Think,Strongly Agree,I'm undecided,Netflix recommendations,Excel,Web browser,10.0,7.5,7.5,2.5,6.0,7.5,5.0,7.5,7.5,10.0,5.0,0,0,0,10.0,8.0,0.0,5.833333333333333,6.25,-0.4166666666666669,4.791666666666666,Moderate,0.0,0.0,7.5,Dunning-Kruger,7.0
85,45 years and older,Male,Primary education,Employed,Marketing,Between 5 to 10 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,2,I'm undecided,Strongly disagree,Definitely Removes,Think,Strongly Agree,Becomes,WhatsApp,HTML,Web browser,7.5,7.5,7.5,5.0,4.0,5.0,0.0,10.0,7.5,10.0,7.5,1,0,0,6.25,5.125,3.333333333333333,5.833333333333333,6.25,-0.4166666666666669,4.791666666666666,Moderate,0.0,0.0,4.166666666666667,Overconfident,10.0
86,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,1,I would like to,Agree,Removes,Think,Agree,Can't,WhatsApp,Game algorithm,I do not know,7.5,5.0,5.0,5.0,2.0,7.5,7.5,7.5,7.5,7.5,2.5,1,0,0,6.25,4.125,3.333333333333333,5.833333333333333,6.25,-0.4166666666666669,4.791666666666666,Moderate,7.6923076923076925,0.0,1.666666666666667,Realistic,10.0
87,35-44,Female,High school,Unemployed,Housewife,Between 0 to 2 hours per day,I have basic knowledge,I don't trust it at all,Definitely harmful,1,I would not like to,Agree,Removes,Think,I'm undecided,Becomes,WhatsApp,I do not know,I do not know,1.0,5.0,0.0,0.0,2.0,2.5,7.5,7.5,7.5,5.0,7.5,1,0,0,0.8333333333333333,1.4166666666666663,3.333333333333333,0.8333333333333334,7.5,-6.666666666666667,1.6666666666666667,Resister,15.384615384615383,-5.0,1.666666666666667,Realistic,10.0
88,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,3,I would like to,Agree,Removes,Think,Agree,Becomes,WhatsApp,Excel,Image processing,3.5,5.0,2.5,5.0,6.0,7.5,7.5,7.5,7.5,7.5,7.5,1,0,0,2.916666666666667,4.458333333333334,3.333333333333333,5.0,7.5,-2.5,3.75,Moderate,0.0,-2.5,1.666666666666667,Realistic,10.0
89,45 years and older,Male,Bachelor's degree,Employed,Teacher,More than 10 hours per day,I have a good level of knowledge,I don't trust it,Both beneficial and harmful,5,I'm undecided,I'm undecided,Removes,I don't think so,Agree,I'm undecided,WhatsApp,I do not know,I do not know,10.0,7.5,2.5,5.0,10.0,5.0,5.0,7.5,2.5,7.5,5.0,1,0,0,10.0,10.0,3.333333333333333,4.166666666666667,5.0,-0.833333333333333,4.583333333333334,Moderate,15.384615384615383,-5.0,4.166666666666667,Overconfident,10.0
90,25-34,Male,Bachelor's degree,Employed,engineer,More than 10 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,2,I would like to,I'm undecided,Removes,I don't think so,I'm undecided,Becomes,WhatsApp,Game algorithm,Natural language processing,10.0,5.0,7.5,5.0,4.0,7.5,5.0,7.5,2.5,5.0,7.5,1,0,1,10.0,7.0,6.666666666666666,6.666666666666667,5.625,1.041666666666667,5.520833333333334,Moderate,0.0,2.5,-1.666666666666666,Realistic,10.0
91,45 years and older,Male,Bachelor's degree,Retired,Retired,Between 0 to 2 hours per day,I have basic knowledge,I don't trust it,More harmful than beneficial,2,I would not like to,I disagree,Removes,I don't think so,Strongly Agree,Can't,Netflix recommendations,I do not know,Natural language processing,1.0,5.0,2.5,2.5,4.0,2.5,2.5,7.5,2.5,10.0,2.5,0,0,1,0.8333333333333333,2.4166666666666665,3.333333333333333,2.5,3.75,-1.25,4.375,Indifferent,7.6923076923076925,-2.5,1.666666666666667,Realistic,10.0
92,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I trust it,More beneficial than harmful,1,I would like to,I'm undecided,Removes,Think,Agree,I'm undecided,WhatsApp,Linear regression,Natural language processing,3.5,5.0,7.5,7.5,2.0,7.5,5.0,7.5,7.5,7.5,5.0,1,1,1,2.916666666666667,2.458333333333333,10.0,7.5,6.25,1.25,5.625,Cautious,0.0,2.5,-5.0,Underconfident,10.0
93,45 years and older,Male,Master's degree or higher,Employed,Teacher,Between 0 to 2 hours per day,I have a good level of knowledge,I trust it,Definitely beneficial,4,"Definitely, I would like to",I disagree,Definitely Removes,Think,Strongly disagree,Becomes,WhatsApp,I do not know,Web browser,1.0,7.5,7.5,10.0,8.0,10.0,2.5,10.0,7.5,0.0,7.5,1,0,0,0.8333333333333333,4.416666666666667,3.333333333333333,9.166666666666666,6.875,2.291666666666666,6.145833333333333,Cautious,7.6923076923076925,0.0,4.166666666666667,Overconfident,10.0
94,35-44,Female,Master's degree or higher,Employed,Teacher,Between 0 to 2 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,2,I would like to,I'm undecided,Removes,Think,Strongly Agree,I'm undecided,WhatsApp,Linear regression,Web browser,1.0,7.5,7.5,5.0,4.0,7.5,5.0,7.5,7.5,10.0,5.0,1,1,0,0.8333333333333333,2.4166666666666665,6.666666666666666,6.666666666666667,6.25,0.4166666666666669,5.208333333333334,Cautious,0.0,0.0,0.8333333333333339,Realistic,10.0
95,35-44,Female,High school,Employed,Not specified,More than 10 hours per day,I've heard a little about it,I don't trust it,Both beneficial and harmful,1,I would like to,I'm undecided,Removes,Think,I'm undecided,Can't,Netflix recommendations,I do not know,I do not know,10.0,2.5,2.5,5.0,2.0,7.5,5.0,7.5,7.5,5.0,2.5,0,0,0,10.0,6.0,0.0,5.0,5.625,-0.625,4.6875,Moderate,15.384615384615383,0.0,2.5,Overconfident,10.0
96,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I've heard a little about it,I trust it,Definitely beneficial,2,I would like to,I'm undecided,I have no idea,Think,I'm undecided,Becomes,I do not know,I do not know,I do not know,3.5,2.5,7.5,10.0,4.0,7.5,5.0,5.0,7.5,5.0,7.5,0,0,0,2.916666666666667,3.458333333333333,0.0,8.333333333333334,6.25,2.083333333333334,6.041666666666667,Cautious,30.76923076923077,5.0,2.5,Overconfident,10.0
97,18-24,Female,High school,Student,engineer,Between 5 to 10 hours per day,I have a good level of knowledge,I trust it,Definitely beneficial,5,I would like to,I disagree,Can't handle it,I don't think so,Agree,Can't,WhatsApp,Linear regression,Natural language processing,7.5,7.5,7.5,10.0,10.0,7.5,2.5,2.5,2.5,7.5,2.5,1,1,1,6.25,8.125,10.0,8.333333333333334,2.5,5.833333333333334,7.916666666666667,Optimist,0.0,0.0,-2.5,Underconfident,10.0
98,35-44,Male,Bachelor's degree,Employed,Security,Between 0 to 2 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,1,"Definitely, I would not like to",I disagree,Removes,Think,Agree,It certainly can't be,WhatsApp,Game algorithm,Image processing,1.0,5.0,7.5,5.0,2.0,0.0,2.5,7.5,7.5,7.5,0.0,1,0,0,0.8333333333333333,1.4166666666666663,3.333333333333333,4.166666666666667,4.375,-0.208333333333333,4.895833333333334,Moderate,0.0,2.5,1.666666666666667,Realistic,10.0
99,45 years and older,Male,Master's degree or higher,Employed,Teacher,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,More harmful than beneficial,3,I'm undecided,Strongly disagree,Can't handle it,Think,Strongly Agree,Becomes,WhatsApp,I do not know,I do not know,1.0,5.0,5.0,2.5,6.0,5.0,0.0,2.5,7.5,10.0,7.5,1,0,0,0.8333333333333333,3.4166666666666665,3.333333333333333,4.166666666666667,4.375,-0.208333333333333,4.895833333333334,Moderate,15.384615384615383,0.0,1.666666666666667,Realistic,10.0
100,25-34,Male,Bachelor's degree,Employed,Teacher,Between 5 to 10 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,2,I would like to,Agree,Removes,Think,Agree,I'm undecided,WhatsApp,Linear regression,Natural language processing,7.5,7.5,7.5,5.0,4.0,7.5,7.5,7.5,7.5,7.5,5.0,1,1,1,6.25,5.125,10.0,6.666666666666667,6.875,-0.208333333333333,4.895833333333334,Cautious,0.0,0.0,-2.5,Underconfident,10.0
101,25-34,Male,Master's degree or higher,Employed,Uzman,More than 10 hours per day,I have a good level of knowledge,I trust it,More beneficial than harmful,3,I would like to,I disagree,Definitely Removes,I don't think so,Agree,Can't,WhatsApp,HTML,Natural language processing,10.0,7.5,7.5,7.5,6.0,7.5,2.5,10.0,2.5,7.5,2.5,1,0,1,10.0,8.0,6.666666666666666,7.5,4.375,3.125,6.5625,Moderate,0.0,0.0,0.8333333333333339,Realistic,10.0
102,45 years and older,Female,High school,Retired,Retired,Between 2 to 5 hours per day,I've heard a little about it,I don't trust it,Both beneficial and harmful,1,I would not like to,Agree,I have no idea,Definitely I don't think so,Agree,It certainly can't be,Netflix recommendations,I do not know,Natural language processing,3.5,2.5,2.5,5.0,2.0,2.5,7.5,5.0,0.0,7.5,0.0,0,0,1,2.916666666666667,2.458333333333333,3.333333333333333,3.333333333333333,3.125,0.2083333333333334,5.104166666666667,Indifferent,15.384615384615383,0.0,-0.833333333333333,Realistic,10.0
103,45 years and older,Female,Bachelor's degree,Employed,Teacher,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,Definitely beneficial,2,I would like to,I'm undecided,Removes,Think,Strongly Agree,Becomes,WhatsApp,Linear regression,Natural language processing,7.5,5.0,5.0,10.0,4.0,7.5,5.0,7.5,7.5,10.0,7.5,1,1,1,6.25,5.125,10.0,7.5,6.875,0.625,5.3125,Cautious,0.0,0.0,-5.0,Underconfident,10.0
104,45 years and older,Female,Bachelor's degree,Employed,Teacher,Between 0 to 2 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,1,I'm undecided,Agree,Removes,I'm undecided,Strongly Agree,Becomes,I do not know,I do not know,Natural language processing,1.0,2.5,5.0,5.0,2.0,5.0,7.5,7.5,5.0,10.0,7.5,0,0,1,0.8333333333333333,1.4166666666666663,3.333333333333333,5.0,6.875,-1.875,4.0625,Moderate,15.384615384615383,2.5,-0.833333333333333,Realistic,10.0
105,45 years and older,Female,Master's degree or higher,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I would not like to,Agree,Removes,I'm undecided,Strongly Agree,Becomes,WhatsApp,Excel,Web browser,3.5,5.0,5.0,5.0,4.0,2.5,7.5,7.5,5.0,10.0,7.5,1,0,0,2.916666666666667,3.458333333333333,3.333333333333333,4.166666666666667,6.875,-2.708333333333333,3.6458333333333335,Moderate,0.0,0.0,1.666666666666667,Realistic,10.0
